3	0
4.5	0
6	0
7.5	0
9	0
10.5	0
12	0
13.5	0
15	0
16.5	0
18	1.9734e-298
19.5	4.0428e-276
21	7.2674e-256
22.5	2.2047e-237
24	1.9125e-220
25.5	7.3014e-205
27	1.7537e-190
28.5	3.5742e-177
30	7.9627e-165
31.5	2.4068e-153
33	1.1887e-142
34.5	1.1269e-132
36	2.3603e-123
37.5	1.2355e-114
39	1.8021e-106
40.5	8.0656e-99
42	1.2072e-91
43.5	6.5252e-85
45	1.3648e-78
46.5	1.1756e-72
48	4.412e-67
49.5	7.5926e-62
51	6.2772e-57
52.5	2.6014e-52
54	5.6185e-48
55.5	6.5542e-44
57	4.2675e-40
58.5	1.5986e-36
60	3.543e-33
61.5	4.768e-30
63	3.9909e-27
64.5	2.1246e-24
66	7.3454e-22
67.5	1.6814e-19
69	2.5952e-17
70.5	2.7468e-15
72	2.0256e-13
73.5	1.0564e-11
75	3.9514e-10
76.5	1.074e-08
78	2.1478e-07
79.5	3.1974e-06
81	3.5825e-05
82.5	0.0003053
84	0.0019985
85.5	0.010148
87	0.040395
88.5	0.12771
90	0.32659
91.5	0.69287
93	1.257
94.5	2.0128
96	2.9272
97.5	3.9579
99	5.0659
100.5	6.22
102	7.3976
103.5	8.5829
105	9.7648
106.5	10.936
108	12.092
109.5	13.23
111	14.347
112.5	15.442
114	16.514
115.5	17.564
117	18.591
118.5	19.595
120	20.578
121.5	21.538
123	22.477
124.5	23.395
126	24.292
127.5	25.17
129	26.028
130.5	26.868
132	27.689
133.5	28.493
135	29.279
136.5	30.049
138	30.802
139.5	31.54
141	32.262
142.5	32.97
144	33.663
145.5	34.342
147	35.008
148.5	35.66
150	36.3
151.5	36.927
153	37.542
154.5	38.145
156	38.736
157.5	39.317
159	39.887
160.5	40.446
162	40.995
163.5	41.534
165	42.063
166.5	42.583
168	43.094
169.5	43.596
171	44.089
172.5	44.573
174	45.049
175.5	45.517
177	45.978
178.5	46.43
180	46.875
181.5	47.313
183	47.744
184.5	48.167
186	48.584
187.5	48.994
189	49.398
190.5	49.796
192	50.187
193.5	50.572
195	50.951
196.5	51.325
198	51.693
199.5	52.055
201	52.412
202.5	52.764
204	53.111
205.5	53.452
207	53.789
208.5	54.121
210	54.448
