3	4.3426e-103
4.5	1.1889e-73
6	2.4229e-54
7.5	1.3926e-40
9	2.4719e-30
10.5	1.6589e-22
12	1.8774e-16
13.5	9.3986e-12
15	4.0213e-08
16.5	2.352e-05
18	0.0026603
19.5	0.075935
21	0.69296
22.5	2.6866
24	6.0676
25.5	10.13
27	14.309
28.5	18.338
30	22.118
31.5	25.624
33	28.862
34.5	31.852
36	34.614
37.5	37.169
39	39.539
40.5	41.74
42	43.79
43.5	45.703
45	47.491
46.5	49.167
48	50.74
49.5	52.22
51	53.614
52.5	54.929
54	56.172
55.5	57.349
57	58.464
58.5	59.523
60	60.53
61.5	61.487
63	62.4
64.5	63.27
66	64.101
67.5	64.896
69	65.656
70.5	66.384
72	67.081
73.5	67.751
75	68.394
76.5	69.011
78	69.605
79.5	70.177
81	70.728
82.5	71.259
84	71.77
85.5	72.264
87	72.741
88.5	73.202
90	73.648
91.5	74.079
93	74.496
94.5	74.9
96	75.291
97.5	75.67
99	76.038
100.5	76.395
102	76.741
103.5	77.078
105	77.405
106.5	77.722
108	78.031
109.5	78.332
111	78.624
112.5	78.908
114	79.186
115.5	79.455
117	79.718
118.5	79.975
120	80.225
